Temperature,Humidity
23.7,26.27
23.72,26.29
23.73,26.23
23.72,26.12
23.75,26.2
23.76,26.26
23.73,26.29
23.75,26.29
23.75,26.35
23.74,26.39
23.75,26.45
23.7,26.56
23.7,26.6
23.7,26.7
23.7,26.77
23.7,26.89
23.7,26.97
23.6,26.89
23.64,26.98
23.65,27.05
23.64,27.1
23.6,27.16
23.6,27.24
23.6,27.29
23.6,27.33
23.6,27.34
23.62,27.39
23.6,27.39
23.6,27.41
23.6,27.5
23.6,27.52
23.6,27.6
23.6,27.6
23.6,27.54
23.6,27.6
23.62,27.63
23.67,27.7
23.6,27.7
23.6,27.72
23.6,27.79
23.6,27.86
23.6,27.8
23.57,27.79
23.54,27.81
23.6,27.98
23.52,28
23.5,27.98
23.5,28
23.5,28
23.5,28
23.5,28
23.5,28.02
23.45,28.12
23.39,28.18
23.39,28.2
23.39,28.2
23.39,28.2
23.39,28.22
23.39,28.37
23.37,28.39
23.39,28.32
23.37,28.45
23.39,28.5
23.32,28.5
23.36,28.5
23.29,28.5
23.31,28.53
23.29,28.7
23.29,28.7
23.29,28.68
23.29,28.62
23.29,28.66
23.29,28.55
23.29,28.6
23.27,28.6
23.2,28.42
23.23,28.5
23.29,28.5
23.21,28.63
23.2,28.6
23.2,28.65
23.2,28.62
23.2,28.7
23.2,28.7
23.2,28.72
23.2,28.79
23.2,28.79
23.14,28.79
23.15,28.89
23.15,28.89
23.18,28.83
23.12,28.95
23.14,28.96
23.1,29
23.1,29.07
23.1,28.92
23.1,27.93
23.06,27.77
23.02,27.56
23.01,27.82
23,28.08
23,27.96
22.98,27.91
23,27.93
23,28.02
22.98,28.07
22.95,28.1
23,28.1
22.96,28.2
22.97,28.1
22.95,28.13
23,28.2
22.95,28.2
23,28.13
22.91,28.1
22.89,28.1
22.89,27.96
22.86,27.84
22.87,27.68
22.87,27.6
22.89,27.6
22.82,27.45
22.84,27.37
22.79,27.36
22.79,27.2
22.79,27.17
22.79,27.07
22.79,27.02
22.77,26.93
22.76,26.82
22.7,26.75
22.72,26.7
22.7,26.68
22.7,26.53
22.7,26.46
22.7,26.45
22.7,26.34
22.7,26.26
22.7,26.2
22.7,26.16
22.7,26.02
22.7,26.1
22.7,26
22.7,25.93
22.7,25.93
22.7,25.82
22.68,25.77
22.64,25.7
22.6,25.57
22.67,25.6
22.6,25.52
22.62,25.48
22.62,25.55
22.6,25.39
22.65,25.42
22.6,25.27
22.6,25.22
22.6,25.2
22.6,25.2
22.6,25.15
22.6,25.14
22.6,25.15
22.6,25.04
22.6,25.05
22.6,25.06
22.6,25
22.6,25
22.6,25
22.6,25.02
22.6,25.1
22.6,25.08
22.56,25.02
22.58,25.08
22.57,25.07
22.56,24.91
22.55,25.2
22.6,24.92
22.58,25.06
22.57,24.91
22.52,24.95
22.54,24.89
22.5,24.86
22.5,24.92
22.5,24.91
22.56,24.81
22.52,24.89
22.52,24.98
22.57,25.07
22.6,25
22.6,25.02
22.6,25.04
22.6,25.1
22.6,25.1
22.6,25.08
22.6,25.17
22.6,25.07
22.6,25.2
22.6,25.2
22.54,25.16
22.54,25.16
22.54,25.14
22.52,25.1
22.5,25.04
22.5,25
22.5,25
22.5,25
22.5,24.91
22.5,24.89
22.5,24.89
22.5,24.89
22.48,24.87
22.46,24.83
22.5,24.86
22.42,24.75
22.46,24.81
22.39,24.7
22.42,24.72
22.39,24.7
22.39,24.72
22.39,24.72
22.39,24.71
22.39,24.62
22.39,24.75
22.39,24.91
22.39,25.25
22.39,25.09
22.39,25
22.35,24.98
22.32,25
22.36,24.97
22.32,24.89
22.29,24.92
22.29,24.91
22.26,24.86
22.25,24.85
22.23,24.79
22.26,24.82
22.2,24.79
22.2,24.79
22.2,24.74
22.2,24.79
22.13,24.7
22.1,24.7
22.15,24.72
22.1,24.7
22.1,24.7
22.13,24.7
22.1,24.7
22.1,24.68
22.07,24.67
22.07,24.67
22,24.58
21.98,24.6
21.98,24.56
21.95,24.6
21.93,24.5
21.89,24.5
21.89,24.52
21.89,24.5
21.89,24.5
21.82,24.42
21.82,24.46
21.79,24.39
21.79,24.39
21.79,24.39
21.77,24.39
21.77,24.36
21.75,24.35
21.7,24.29
21.7,24.29
21.7,24.29
21.7,24.29
21.64,24.24
21.6,24.2
21.6,24.2
21.6,24.22
21.5,24.26
21.5,24.2
21.55,24.2
21.5,24.2
21.5,24.2
21.5,24.2
21.5,24.2
21.5,24.15
21.5,24.18
21.5,24.12
21.5,24.15
21.5,24.12
21.5,24.1
21.5,24.1
21.5,24.1
21.5,24.1
21.47,24.07
21.39,24
21.43,23.93
21.39,23.97
21.39,23.92
21.39,23.95
21.36,23.89
21.32,24
21.34,23.97
21.32,23.97
21.36,24
21.39,23.97
21.32,23.89
21.29,23.95
21.29,23.97
21.29,23.89
21.29,23.93
21.29,23.89
21.29,23.89
21.25,23.85
21.23,23.82
21.22,23.81
21.2,23.79
21.2,23.79
21.2,23.79
21.2,23.79
21.2,23.79
21.2,23.77
21.2,23.75
21.2,23.76
21.2,23.7
21.2,23.79
21.18,23.7
21.17,23.7
21.12,23.68
21.1,23.65
21.12,23.65
21.1,23.6
21.13,23.6
21.1,23.6
21.1,23.6
21.1,23.6
21.1,23.6
21.1,23.57
21.1,23.53
21.1,23.47
21.1,23.47
21.1,23.5
21.1,23.5
21.12,23.5
21.1,23.5
21.13,23.5
21.1,23.39
21.1,23.47
21.1,23.5
21.1,23.5
21.1,23.5
21.1,23.5
21.1,23.5
21.1,23.43
21.1,23.39
21.1,23.39
21.12,23.39
21.1,23.39
21.1,23.39
21.1,23.39
21.1,23.36
21.1,23.39
21.1,23.36
21.1,23.33
21.07,23.32
21.07,23.34
21.1,23.29
21.03,23.29
21.02,23.29
21.02,23.29
21,23.29
21,23.29
21,23.25
21,23.26
21,23.27
21,23.29
21,23.29
21,23.29
21,23.29
21,23.29
20.97,23.29
21,23.29
20.97,23.29
20.96,23.29
21,23.29
20.89,23.2
20.89,23.25
20.89,23.22
20.89,23.25
20.89,23.26
20.89,23.22
20.89,23.2
20.89,23.2
20.89,23.2
20.89,23.2
20.89,23.2
20.89,23.12
20.89,23.12
20.89,23.1
20.89,23.1
20.89,23.1
20.89,23.1
20.89,23.1
20.89,23.1
20.89,23.1
20.89,23.1
20.97,23.1
20.92,23.1
20.89,23.1
20.89,23.05
20.89,23.05
20.91,23
20.93,23
20.89,23
20.89,22.96
20.93,22.93
20.89,23
20.89,23
20.92,22.97
20.89,22.95
20.89,22.89
20.92,22.95
20.89,22.96
20.95,22.89
20.89,22.92
20.89,22.89
20.89,22.89
20.89,22.89
20.89,22.89
20.89,22.89
20.89,22.89
20.89,22.89
20.86,22.86
20.89,22.89
20.89,22.86
20.89,22.89
20.89,22.86
20.89,22.89
20.89,22.89
20.89,22.84
20.89,22.84
20.89,22.79
20.89,22.76
20.89,22.82
20.89,22.79
20.89,22.79
20.86,22.77
20.86,22.77
20.89,22.79
20.89,22.79
20.89,22.77
20.86,22.68
20.87,22.72
20.89,22.7
20.89,22.7
20.85,22.68
20.81,22.62
20.79,22.6
20.79,22.65
20.82,22.73
20.79,22.6
20.79,22.64
20.79,22.7
20.79,22.65
20.79,22.63
20.79,22.7
20.79,22.6
20.79,22.6
20.77,22.6
20.79,22.6
20.79,22.62
20.73,22.6
20.79,22.6
20.79,22.6
20.79,22.6
20.75,22.6
20.76,22.6
20.72,22.6
20.72,22.6
20.72,22.6
20.75,22.55
20.72,22.55
20.76,22.57
20.72,22.5
20.72,22.5
20.77,22.5
20.75,22.5
20.7,22.5
20.7,22.5
20.77,22.5
20.72,22.52
20.7,22.5
20.73,22.5
20.7,22.5
20.7,22.5
20.72,22.5
20.7,22.5
20.72,22.45
20.7,22.5
20.7,22.5
20.72,22.5
20.7,22.5
20.7,22.46
20.7,22.5
20.7,22.5
20.7,22.5
20.7,22.43
20.7,22.5
20.72,22.47
20.72,22.43
20.73,22.39
20.7,22.39
20.75,22.39
20.72,22.36
20.75,22.39
20.77,22.37
20.76,22.39
20.77,22.36
20.75,22.39
20.74,22.39
20.73,22.36
20.7,22.34
20.76,22.36
20.75,22.39
20.73,22.39
20.75,22.34
20.7,22.37
20.7,22.36
20.7,22.36
20.72,22.34
20.7,22.34
20.7,22.39
20.7,22.32
20.7,22.29
20.7,22.36
20.7,22.34
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.33
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.29
20.7,22.32
20.68,22.29
20.68,22.29
20.7,22.29
20.68,22.22
20.68,22.27
20.67,22.26
20.62,22.22
20.68,22.27
20.65,22.25
20.64,22.24
20.63,22.26
20.7,22.29
20.68,22.27
20.62,22.25
20.68,22.27
20.62,22.22
20.65,22.27
20.67,22.26
20.64,22.24
20.63,22.23
20.65,22.25
20.65,22.25
20.65,22.25
20.63,22.23
20.65,22.25
20.62,22.22
20.6,22.2
20.6,22.2
20.6,22.22
20.6,22.2
20.6,22.2
20.6,22.22
20.6,22.2
20.6,22.2
20.6,22.2
20.63,22.23
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.57,22.22
20.6,22.22
20.57,22.27
20.58,22.25
20.6,22.23
20.6,22.26
20.6,22.2
20.57,22.2
20.55,22.27
20.6,22.2
20.6,22.2
20.57,22.23
20.57,22.27
20.6,22.2
20.6,22.27
20.6,22.22
20.6,22.2
20.6,22.26
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.58,22.2
20.6,22.2
20.6,22.2
20.6,22.2
20.6,22.22
20.6,22.22
20.6,22.2
20.58,22.22
20.57,22.26
20.6,22.2
20.6,22.27
20.6,22.29
20.6,22.29
20.55,22.29
20.55,22.29
20.52,22.22
20.57,22.29
20.6,22.29
20.57,22.29
20.57,22.29
20.58,22.25
20.53,22.26
20.57,22.2
20.57,22.29
20.52,22.27
20.6,22.2
20.6,22.25
20.56,22.29
20.6,22.29
20.55,22.29
20.55,22.29
20.6,22.29
20.52,22.27
20.52,22.29
20.52,22.29
20.5,22.27
20.5,22.29
20.52,22.29
20.6,22.26
20.5,22.2
20.6,22.22
20.56,22.2
20.6,22.2
20.57,22.2
20.57,22.2
20.57,22.2
20.55,22.25
20.6,22.25
20.6,22.22
20.6,22.2
20.57,22.2
20.6,22.2
20.6,22.2
20.6,22.14
20.6,22.12
20.6,22.1
20.6,22.1
20.6,22.12
20.6,22.1
20.58,22.14
20.57,22.13
20.6,22.1
20.57,22.1
20.6,22.15
20.57,22.12
20.57,22.1
20.6,22.1
20.6,22.1
20.6,22.13
20.6,22.12
20.6,22.1
20.57,22.18
20.57,22.18
20.6,22.13
20.57,22.12
20.55,22.2
20.57,22.2
20.52,22.2
20.56,22.2
20.6,22.2
20.53,22.2
20.58,22.2
20.6,22.2
20.6,22.2
20.56,22.2
20.55,22.2
20.6,22.2
20.58,22.2
20.6,22.2
20.57,22.2
20.57,22.23
20.57,22.27
20.6,22.22
20.53,22.2
20.56,22.2
20.6,22.2
20.57,22.2
20.52,22.25
20.52,22.27
20.5,22.29
20.52,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.29
20.5,22.32
20.5,22.39
20.5,22.36
20.5,22.36
20.5,22.39
20.5,22.36
20.5,22.39
20.5,22.39
20.5,22.29
20.5,22.32
20.5,22.32
20.5,22.32
20.5,22.36
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.34
20.5,22.37
20.5,22.39
20.46,22.36
20.5,22.39
20.5,22.32
20.5,22.37
20.5,22.36
20.5,22.39
20.5,22.34
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.48,22.37
20.46,22.35
20.48,22.39
20.5,22.39
20.43,22.32
20.5,22.39
20.48,22.39
20.43,22.32
20.42,22.39
20.46,22.41
20.47,22.39
20.46,22.39
20.5,22.39
20.42,22.34
20.46,22.46
20.48,22.48
20.5,22.46
20.5,22.41
20.47,22.39
20.45,22.34
20.5,22.43
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.39
20.5,22.43
20.5,22.45
20.5,22.39
20.47,22.39
20.5,22.46
20.5,22.46
20.5,22.39
20.5,22.39
20.47,22.39
20.47,22.42
20.5,22.5
20.5,22.48
20.43,22.41
20.42,22.34
20.39,22.39
20.39,22.39
20.39,22.39
20.39,22.39
20.39,22.39
20.39,22.5
20.39,22.46
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.35,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.46
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.47
20.39,22.46
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.46
20.39,22.47
20.39,22.5
20.39,22.5
20.39,22.47
20.39,22.45
20.39,22.43
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.46
20.39,22.5
20.39,22.5
20.39,22.46
20.39,22.45
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.43
20.39,22.47
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.36,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.39,22.5
20.36,22.5
20.36,22.5
20.34,22.57
20.32,22.6
20.32,22.6
20.36,22.6
20.34,22.6
20.36,22.57
20.29,22.6
20.29,22.6
20.29,22.6
20.32,22.6
20.29,22.6
20.32,22.6
20.29,22.6
20.29,22.62
20.29,22.63
20.29,22.68
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.65
20.29,22.6
20.29,22.7
20.29,22.68
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.68
20.29,22.65
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.27,22.68
20.26,22.67
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.72
20.27,22.7
20.26,22.76
20.29,22.7
20.29,22.7
20.29,22.7
20.27,22.68
20.27,22.72
20.29,22.76
20.29,22.77
20.29,22.79
20.29,22.77
20.29,22.76
20.29,22.7
20.29,22.7
20.29,22.7
20.29,22.79
20.29,22.72
20.29,22.7
20.29,22.77
20.29,22.72
20.29,22.7
20.32,22.7
20.36,22.7
20.39,22.7
20.39,22.7
20.39,22.7
20.39,22.7
20.39,22.7
20.39,22.65
20.39,22.68
20.39,22.7
20.39,22.7
20.39,22.7
20.39,22.68
20.39,22.7
20.37,22.7
20.32,22.7
20.29,22.72
20.29,22.75
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.79
20.26,22.79
20.29,22.84
20.27,22.84
20.25,22.82
20.24,22.83
20.29,22.89
20.2,22.79
20.22,22.81
20.25,22.84
20.2,22.79
20.25,22.84
20.27,22.86
20.2,22.79
20.22,22.82
20.2,22.79
20.2,22.79
20.22,22.82
20.2,22.79
20.2,22.82
20.22,22.87
20.2,22.89
20.2,22.89
20.2,22.89
20.2,22.89
20.2,22.89
20.2,22.89
20.24,22.83
20.29,22.84
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.79
20.32,22.79
20.36,22.7
20.34,22.75
20.34,22.72
20.32,22.77
20.32,22.77
20.29,22.79
20.29,22.79
20.29,22.79
20.29,22.86
20.29,22.96
20.29,23
20.32,23.1
20.29,23.2
20.31,23.2
20.31,23.2
20.33,23.2
20.39,23.2
20.36,23.25
20.39,23.34
20.39,23.43
20.39,23.5
20.39,23.66
20.39,23.7
20.39,23.7
20.45,23.82
20.5,23.89
20.5,23.98
20.5,24.03
20.5,24.1
20.5,24.1
20.5,24.1
20.5,24.18
20.52,24.24
20.5,24.32
20.5,24.39
20.5,24.39
20.56,24.39
20.55,24.39
20.55,24.39
20.58,24.39
20.6,24.39
20.67,24.39
20.7,24.37
20.7,24.39
20.7,24.39
20.7,24.39
20.74,24.39
20.73,24.39
20.7,24.5
20.75,24.5
20.79,24.5
20.77,24.52
20.77,24.6
20.75,24.66
20.77,24.7
20.79,24.7
20.79,24.7
20.79,24.74
20.79,24.79
20.77,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.79,24.79
20.82,24.82
20.79,24.79
20.84,24.84
20.79,24.79
20.89,24.89
20.83,24.83
20.87,24.87
20.89,24.87
20.89,24.89
20.87,24.84
20.87,24.77
20.89,24.84
20.89,24.86
20.89,24.82
20.89,24.79
20.93,24.79
20.89,24.85
20.89,24.89
20.89,24.95
20.89,24.92
20.89,24.98
20.89,25
20.89,25
20.89,25
20.92,25
20.98,25
21,24.96
21,24.91
21.02,24.89
21.07,24.89
21.1,24.89
21.1,24.89
21.13,24.82
21.17,24.86
21.2,25.16
21.18,25.04
21.15,24.92
21.18,25.2
21.2,25.34
21.2,25.39
21.23,25.45
21.25,25.58
21.2,25.76
21.2,25.89
21.2,26.05
21.2,26.1
21.2,26.16
21.2,26.25
21.2,26.29
21.22,26.31
21.24,26.41
21.23,26.5
21.22,26.52
21.25,26.58
21.26,26.57
21.29,26.68
21.29,26.76
21.29,26.79
21.32,26.77
21.31,26.79
21.31,26.79
21.36,26.79
21.31,26.83
21.29,26.89
21.35,26.93
21.34,26.95
21.32,27
21.39,27
21.39,27.1
21.39,27.08
21.39,27.1
21.42,27.22
21.43,27.23
21.41,27.27
21.46,27.33
21.48,27.36
21.5,27.31
21.5,27.32
21.54,27.72
21.55,27.5
21.6,27.46
21.6,27.46
21.6,27.47
21.6,27.46
21.6,27.5
21.6,27.6
21.6,27.54
21.6,27.52
21.6,27.57
21.62,27.62
21.64,27.72
21.66,27.83
21.68,27.84
21.65,27.84
21.7,27.84
21.7,27.91
21.7,28.07
21.7,27.97
21.7,27.89
21.7,27.95
21.7,27.91
21.7,27.97
21.7,27.92
21.7,27.89
21.7,27.86
21.7,27.93
21.7,28.1
21.7,27.91
21.7,27.96
21.72,27.97
21.7,28.1
21.79,28.07
21.72,28.1
21.76,28.08
21.77,28.12
21.73,28.13
21.77,28.05
21.78,28.09
21.79,28.12
21.79,28.16
21.79,28.26
21.84,28.1
21.82,28.13
21.87,28.25
21.89,28.18
21.89,28.25
21.89,28.29
21.89,28.31
21.89,28.38
21.89,28.39
21.89,28.38
21.89,28.31
21.89,28.32
21.89,28.31
21.89,28.36
21.91,28.37
21.89,28.39
21.89,28.45
21.89,28.45
21.89,28.5
21.89,28.33
21.91,28.31
21.95,28.29
21.93,28.29
22,28.29
21.98,28.29
21.95,28.29
21.98,28.29
22,28.29
22,28.29
22,28.2
22,28.22
22,28.22
22,28.27
22.02,28.26
22.06,28.27
22.05,28.34
22.1,28.39
22.08,28.37
22.1,28.39
22.1,28.36
22.06,28.35
22.1,28.39
22.08,28.36
22.1,28.39
22.1,28.36
22.1,28.37
22.1,28.2
22.1,28.2
22.15,28.1
22.1,28.2
22.12,28.07
22.17,28
22.18,28.06
22.13,28
22.16,27.96
22.2,27.92
22.18,27.95
22.18,27.81
22.2,27.82
22.2,27.79
22.2,27.79
22.2,27.77
22.2,27.72
22.2,27.77
22.2,27.72
22.2,27.7
22.18,27.7
22.2,27.7
22.2,27.7
22.2,27.64
22.2,27.7
22.2,27.6
22.2,27.52
22.2,27.5
22.2,27.54
22.2,27.57
22.2,27.52
22.2,27.58
22.2,27.6
22.2,27.56
22.2,27.5
22.25,27.56
22.22,27.57
22.25,27.58
22.25,27.54
22.29,27.55
22.29,27.5
22.27,27.5
22.29,27.48
22.29,27.5
22.29,27.45
22.29,27.46
22.29,27.37
22.29,27.36
22.31,27.39
22.33,27.37
22.35,27.33
22.39,27.29
22.39,27.29
22.39,27.25
22.39,27.29
22.39,27.27
22.39,27.2
22.39,27.14
22.43,27.04
22.43,27.03
22.43,27.03
22.43,26.98
22.5,27
22.5,27
22.5,26.96
22.5,26.89
22.58,26.81
22.57,26.79
22.6,26.79
22.6,26.79
22.6,26.72
22.67,26.71
22.68,26.68
22.7,26.7
22.7,26.68
22.72,26.6
22.75,26.6
22.75,26.55
22.79,26.52
22.79,26.6
22.79,26.52
22.84,26.5
22.87,26.46
22.89,26.45
22.89,26.39
22.91,26.39
22.96,26.39
22.96,26.29
23,26.29
22.96,26.24
23,26.2
23,26.2
23.02,26.16
23.02,26.12
23.05,26.08
23.1,26
23.1,26
23.1,26
23.14,26
23.18,26
23.2,26
23.2,26
23.2,25.95
23.22,25.92
23.22,25.82
23.26,25.86
23.29,25.98
23.27,25.87
23.29,25.89
23.27,25.86
23.29,25.89
23.25,25.82
23.25,25.85
23.26,25.79
23.27,25.77
23.25,25.71
23.29,25.72
23.25,25.7
23.21,25.68
23.21,25.68
23.2,25.6
23.2,25.6
23.2,25.58
23.2,25.55
23.2,25.55
23.2,25.5
23.2,25.5
23.19,25.53
23.2,25.7
23.2,25.79
23.2,25.65
23.2,25.53
23.2,25.5
23.2,25.52
23.2,25.72
23.2,25.54
23.18,25.52
23.15,25.5
23.2,25.5
23.2,25.5
23.18,25.5
23.2,25.52
23.2,25.58
23.18,25.6
23.18,25.7
23.2,25.68
23.2,25.7
23.22,25.7
23.23,25.71
23.25,25.68
23.27,25.72
23.27,25.77
23.29,25.79
23.29,25.79
23.29,25.79
23.29,25.79
23.29,25.79
23.29,25.79
23.29,25.79
23.29,25.77
23.29,25.75
23.29,25.79
23.29,26.16
23.29,25.89
23.29,25.89
23.29,26.06
23.29,26.23
23.29,26.46
23.29,26.57
23.29,26.62
23.29,26.75
23.29,26.79
23.29,26.87
23.33,26.96
23.29,27
23.35,27.08
23.32,27.1
23.29,27.14
23.29,27.26
23.29,27.41
23.29,27.42
23.29,27.5
23.29,27.5
23.32,27.59
23.29,27.65
23.29,27.77
23.29,27.7
23.29,27.79
23.33,27.87
23.29,27.92
23.29,27.96
23.3,28.01
23.32,28.1
23.29,28.1
23.29,28.24
23.29,28.35
23.29,28.39
23.29,28.53
23.29,28.57
23.29,28.6
23.29,28.68
23.29,28.77
23.29,28.79
23.29,28.89
23.25,28.91
23.25,28.92
23.24,28.98
23.2,29.05
23.22,29.15
23.2,29.2
23.2,29.2
23.2,29.2
23.2,29.25
23.2,29.33
23.2,29.36
23.14,29.46
23.12,29.47
23.1,29.5
23.1,29.55
23.1,29.6
23.1,29.62
23.1,29.7
23.1,29.75
23.1,29.84
23.1,29.84
23.09,29.89
23.07,29.86
23.02,29.92
23.02,29.96
23,30
23,30
23,30
23,30.02
23,30.06
23,30.07
23,30.12
23,30.15
23,30.23
23,30.29
22.97,30.3
22.92,30.29
22.91,30.29
22.91,30.31
22.89,30.34
22.95,30.39
22.93,30.37
22.96,30.39
22.94,30.39
22.93,30.46
22.92,30.5
22.94,30.41
22.96,30.41
22.89,30.45
22.93,30.6
22.91,30.6
22.89,30.68
22.95,30.7
22.89,30.68
22.89,30.68
22.89,30.75
22.89,30.79
22.89,30.75
22.89,30.79
22.89,30.79
22.89,30.79
22.91,30.79
22.89,30.89
22.89,30.86
22.89,30.89
22.89,30.89
22.89,30.89
22.89,30.85
22.89,30.79
22.89,30.79
22.89,30.86
22.89,30.86
22.89,30.83
